Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?a  <hasOncologicalSurgery>  <Lymph_node_excision>  ?a  <hasOncologicalTreatment>  <Surgery>   ,?a  <hasStage>  <IA>,0.0523349,0.225694,0.225694,65,288,288,?a
?a  <hasOncologicalSurgery>  <Lobectomy>  ?a  <hasOncologicalSurgery>  <Lymph_node_excision>   ,?a  <hasStage>  <IA>,0.0507246,0.217993,0.217993,63,289,289,?a
?a  <hasOncologicalSurgery>  <Lobectomy>  ?a  <hasOncologicalTreatment>  <Surgery>   ,?a  <hasStage>  <IA>,0.0708535,0.208531,0.208531,88,422,422,?a
?a  <hasOncologicalSurgery>  <Lymph_node_excision>   ,?a  <hasStage>  <IA>,0.0523349,0.208333,0.208333,65,312,312,?a
?a  <hasOncologicalSurgery>  <Lobectomy>   ,?a  <hasStage>  <IA>,0.0716586,0.198218,0.198218,89,449,449,?a
?a  <hasOncologicalTreatment>  <Surgery>   ,?a  <hasStage>  <IA>,0.0821256,0.193916,0.193916,102,526,526,?a
?a  <hasOncologicalSurgery>  <Lymph_node_excision>  ?a  <hasOncologicalTreatment>  <Adjuvant>   ,?a  <hasStage>  <IIIA>,0.0144928,0.666667,0.666667,18,27,27,?a
?a  <hasOncologicalTreatment>  <Adjuvant>  ?a  <hasOncologicalTreatment>  <Surgery>   ,?a  <hasStage>  <IIIA>,0.0249597,0.659574,0.659574,31,47,47,?a
?a  <hasOncologicalSurgery>  <Lobectomy>  ?a  <hasOncologicalTreatment>  <Adjuvant>   ,?a  <hasStage>  <IIIA>,0.0217391,0.627907,0.627907,27,43,43,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>  ?a  <hasOncologicalTreatment>  <Neoadjuvant>   ,?a  <hasStage>  <IIIA>,0.0169082,0.617647,0.617647,21,34,34,?a
?a  <hasOncologicalTreatment>  <Neoadjuvant>   ,?a  <hasStage>  <IIIA>,0.0169082,0.6,0.6,21,35,35,?a
?a  <hasOncologicalTreatment>  <Adjuvant>  ?a  <hasOncologicalTreatment>  <Chemotherapy>   ,?a  <hasStage>  <IIIA>,0.02657,0.589286,0.589286,33,56,56,?a
?a  <hasOncologicalTreatment>  <Adjuvant>   ,?a  <hasStage>  <IIIA>,0.0281804,0.583333,0.583333,35,60,60,?a
?a  <hasOncologicalSurgery>  <Pneumonectomy>  ?a  <hasOncologicalTreatment>  <Radiotherapy>   ,?a  <hasStage>  <IIIA>,0.0161031,0.571429,0.571429,20,35,35,?a
?a  <hasOncologicalSurgery>  <Pneumonectomy>  ?a  <hasOncologicalTreatment>  <Chemotherapy>   ,?a  <hasStage>  <IIIA>,0.0217391,0.55102,0.55102,27,49,49,?a
?a  <hasOncologicalSurgery>  <Lobectomy>  ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>   ,?a  <hasStage>  <IIIA>,0.0169082,0.5,0.5,21,42,42,?a
?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>  ?a  <hasOncologicalTreatment>  <Surgery>   ,?a  <hasStage>  <IIIA>,0.020934,0.464286,0.464286,26,56,56,?a
