"Body","Head","Head_Coverage","Std_Confidence","PCA_Confidence","Positive_Examples","Body_size","PCA_Body_size","Functional_variable"
"?a  <hasOncologicalTreatment>  <Neoadjuvant>   ","?a  <hasOncologicalTreatment>  <Radiotherapy>","0.0118283","1","1","35","35","35","?a"
"?a  <hasOncologicalTreatment>  <Radical>   ","?a  <hasOncologicalTreatment>  <Radiotherapy>","0.0905711","1","1","268","268","268","?a"
"?a  <hasOncologicalTreatment>  <Adjuvant>   ","?a  <hasOncologicalTreatment>  <Radiotherapy>","0.0202771","1","1","60","60","60","?a"
"?a  <hasOncologicalTreatment>  <Prophylactic>   ","?a  <hasOncologicalTreatment>  <Radiotherapy>","0.0189253","1","1","56","56","56","?a"
"?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>   ","?a  <hasOncologicalTreatment>  <Chemotherapy>","0.0686043","1","1","203","203","203","?a"
"?a  <hasOncologicalTreatment>  <Prophylactic>   ","?a  <hasOncologicalTreatment>  <Chemotherapy>","0.0189253","1","1","56","56","56","?a"
"?a  <hasOncologicalSurgery>  <Lymph_node_excision>  ?a  <hasStage>  <IIA>   ","?a  <hasOncologicalTreatment>  <Surgery>","0.0111524","1","1","33","33","33","?a"
"?a  <hasOncologicalSurgery>  <Lymph_node_excision>  ?a  <hasStage>  <IA>   ","?a  <hasOncologicalTreatment>  <Surgery>","0.0219669","1","1","65","65","65","?a"
"?a  <hasOncologicalSurgery>  <Lymph_node_excision>  ?a  <hasStage>  <IIB>   ","?a  <hasOncologicalTreatment>  <Surgery>","0.0118283","1","1","35","35","35","?a"
"?a  <hasOncologicalSurgery>  <Lobectomy>  ?a  <hasStage>  <IIA>   ","?a  <hasOncologicalTreatment>  <Surgery>","0.0152078","1","1","45","45","45","?a"
"?a  <hasOncologicalSurgery>  <Lymph_node_excision>  ?a  <hasStage>  <IB>   ","?a  <hasOncologicalTreatment>  <Surgery>","0.0168976","1","1","50","50","50","?a"
"?a  <hasOncologicalSurgery>  <Lobectomy>  ?a  <hasStage>  <IIB>   ","?a  <hasOncologicalTreatment>  <Surgery>","0.0172356","1","1","51","51","51","?a"
"?a  <hasOncologicalSurgery>  <Lobectomy>  ?a  <hasStage>  <IB>   ","?a  <hasOncologicalTreatment>  <Surgery>","0.0270362","1","1","80","80","80","?a"
